id_vivienda,comuna,tipo_vivienda,num_dormitorios,num_banos,superficie_m2,ano_construccion,material_paredes,material_techo,num_personas_hogar,num_hombres,num_mujeres,num_menores_18,num_adultos_18_64,num_adultos_65_plus,ingreso_mensual_hogar,jefe_hogar_edad,jefe_hogar_sexo,jefe_hogar_educacion,agua_potable,electricidad,gas_natural,internet,telefono_fijo,vehiculo_propio,tenencia_vivienda
VIV_000011,Coyhaique,Departamento,3,1,185.2,1967,Ladrillo,Zinc,7,1,6,2,3,2,2662179,26,F,Técnica,Sí,No,Sí,Sí,No,Sí,Ocupación irregular
VIV_000012,San Antonio,Casa,3,2,165.7,2019,Adobe,Losa,12,0,12,0,11,1,1195189,79,F,Básica,Sí,No,No,No,No,Sí,Ocupación irregular
VIV_000013,Alto Hospicio,Mediagua,1,1,165.5,2005,Hormigón,Zinc,1,1,0,0,0,1,489883,48,F,Media,No,No,Sí,Sí,No,No,Propia
VIV_000014,Ovalle,Departamento,4,2,198.9,1976,Hormigón,Zinc,5,3,2,4,0,1,867059,22,F,Técnica,No,Sí,No,No,Sí,Sí,Propia
VIV_000015,Villarrica,Mediagua,2,3,103.1,2002,Ladrillo,Tejas,4,0,4,3,0,1,822872,64,F,Técnica,No,No,No,Sí,Sí,Sí,Cedida
VIV_000016,Iquique,Mediagua,3,3,189.9,1951,Ladrillo,Losa,7,3,4,1,4,2,2010515,28,M,Básica,Sí,Sí,Sí,No,No,No,Propia
VIV_000017,Calama,CASA,1,2,81.4,1975,Ladrillo,Tejas,3,3,0,2,1,0,1732245,78,F,Básica,No,Sí,Sí,No,Sí,Sí,Propia
VIV_000018,La Serena,Departamento,5,1,157.8,1980,Hormigón,Paja,6,5,1,4,1,1,530245,79,F,Básica,No,No,Sí,No,Sí,Sí,Propia
VIV_000019,Las Condes,Departamento,1,1,87.2,1952,Hormigón,Paja,4,4,0,0,4,0,1261756,43,F,Sin estudios,Sí,Sí,Sí,No,No,No,Arrendada
VIV_000020,Copiapó,Casa pareada,1,1,39.8,1955,Hormigón,Losa,3,3,0,0,3,0,1173461,33,M,Universitaria,Sí,No,No,Sí,No,No,Propia
VIV_000021,Puerto Montt,Departamento,2,1,60.5,2009,Madera,Tejas,3,3,0,2,1,0,1188540,67,M,Media,Sí,Sí,No,Sí,Sí,Sí,Ocupación irregular
VIV_000022,Rancagua,Casa pareada,1,1,78.6,2022,Adobe,Tejas,3,2,1,2,1,0,2325803,22,F,Técnica,Sí,Sí,Sí,No,Sí,No,Cedida
VIV_000023,San Fernando,Departamento,2,3,133.5,1976,Wood,tejas,6,2,4,2,4,0,955816,67,M,Básica,Sí,Sí,No,No,No,Sí,Ocupación irregular
VIV_000024,Valparaíso,Casa pareada,2,2,160.7,2009,Hormigón,Zinc,3,2,1,2,1,0,1372488,27,M,Sin estudios,Sí,No,No,No,No,Sí,Arrendada
VIV_000025,San Bernardo,Casa,4,2,98.9,2000,Ladrillo,Paja,2,1,1,2,0,0,1252439,75,M,Media,Sí,Sí,Sí,No,No,Sí,Arrendada
VIV_000026,Valparaíso,Casa,2,1,170,1965,Madera,Tejas,7,2,5,0,1,6,721821,27,F,Universitaria,No,No,Sí,No,No,Sí,Propia
VIV_000027,Valdivia,Departamento,4,2,195.2,1958,Madera,Losa,9,3,6,0,2,7,486331,25,F,Media,Sí,No,Sí,No,No,Sí,Cedida
VIV_000028,Curicó,Casa pareada,1,2,124.8,2008,Madera,Tejas,2,2,0,0,0,2,1298048,78,M,Universitaria,No,No,No,Sí,No,No,Ocupación irregular
VIV_000029,Coyhaique,Casa,1,2,39.9,2003,Hormigón,Paja,2,2,0,0,2,0,2450582,35,M,Técnica,No,No,Sí,Sí,No,No,Arrendada
VIV_000030,San Bernardo,Casa,5,1,105.3,1997,Adobe,Tejas,6,4,2,1,1,4,1280597,31,M,Sin estudios,Sí,Sí,No,No,Sí,Sí,Propia
VIV_000031,Puerto Montt,Casa pareada,2,1,98.8,1994,Hormigón,Paja,3,1,2,0,1,2,2114460,64,M,Básica,No,Sí,Sí,No,Sí,No,Arrendada
VIV_000032,Talca,Casa,4,1,31,1960,Madera,Zinc,10,0,10,1,6,3,1571017,72,F,Técnica,No,No,Sí,No,No,Sí,Cedida
VIV_000033,Puente Alto,Departamento,4,3,181.3,1995,Adobe,Tejas,8,3,5,1,4,3,2247684,41,M,Técnica,No,No,No,No,No,No,Arrendada
VIV_000034,Santiago,Mediagua,2,2,61.8,2008,Adobe,Losa,8,0,8,3,0,5,1755120,32,M,Universitaria,No,No,Sí,No,No,No,Cedida
VIV_000035,Calama,Departamento,5,1,47.3,2005,Ladrillo,Zinc,6,0,6,4,1,1,577532,26,F,Básica,No,Sí,No,Sí,No,Sí,Cedida
VIV_000036,La Florida,Casa,5,2,176.3,1961,Ladrillo,Losa,2,2,0,1,0,1,1295148,67,F,Sin estudios,Sí,Sí,No,No,No,Sí,Cedida
VIV_000037,Coyhaique,Casa pareada,5,1,198.2,1973,Adobe,Paja,16,2,14,3,10,3,957083,34,M,Universitaria,No,No,Sí,No,No,No,Cedida
VIV_000038,Santiago,Casa pareada,3,1,148.2,2020,Adobe,Paja,1,1,0,0,1,0,1254132,29,F,Media,No,Sí,Sí,No,No,Sí,Propia
VIV_000039,Providencia,Mediagua,4,3,110.7,1991,Ladrillo,Tejas,14,8,6,0,9,5,1778148,21,M,Sin estudios,Sí,No,Sí,Sí,No,No,Arrendada
VIV_000040,Valparaíso,Departamento,3,2,181.1,2019,hormigon,ZINC,9,4,5,3,6,0,2659883,45,M,Sin estudios,No,Sí,No,No,Sí,Sí,Propia
VIV_000041,Punta Arenas,Departamento,5,1,77.4,2021,hormigon,tejas,5,1,4,0,5,0,1924325,35,F,Sin estudios,Sí,No,Sí,No,No,Sí,Arrendada
VIV_000042,Ovalle,Departamento,3,2,108.1,1959,Ladrillo,Losa,5,5,0,1,3,1,2251022,56,F,Universitaria,No,Sí,Sí,No,Sí,Sí,Ocupación irregular
VIV_000043,Coquimbo,Mediagua,4,2,41.9,1956,Ladrillo,Losa,12,5,7,4,3,5,421263,44,F,Básica,No,Sí,Sí,Sí,No,No,Cedida
VIV_000044,Los Ángeles,Casa,4,1,177.7,1962,Adobe,Tejas,16,9,7,3,7,6,2049213,21,F,Básica,Sí,No,Sí,No,Sí,Sí,Arrendada
VIV_000045,Castro,Departamento,3,1,37.5,2012,Madera,Tejas,12,3,9,3,0,9,2744543,66,M,Universitaria,No,No,No,No,No,Sí,Arrendada
VIV_000046,Maipú,Departamento,3,1,122.7,1976,Adobe,Tejas,4,1,3,1,2,1,1310519,56,M,Básica,Sí,No,Sí,No,No,No,Cedida
VIV_000047,Calama,Casa,3,2,77.7,1975,Madera,Paja,10,0,10,3,5,2,2972443,80,F,Técnica,Sí,Sí,No,Sí,No,No,Arrendada
VIV_000048,Los Ángeles,Mediagua,2,2,136.6,1961,Hormigón,Paja,2,0,2,2,0,0,1837411,74,F,Universitaria,No,No,No,Sí,Sí,No,Arrendada
VIV_000049,La Florida,Departamento,4,1,186.2,2000,Adobe,Zinc,9,6,3,2,2,5,1675259,58,F,Técnica,Sí,Sí,No,Sí,Sí,Sí,Propia
VIV_000050,Coyhaique,Casa,1,2,100.2,1982,Ladrillo,Tejas,1,0,1,0,0,1,2946028,65,M,Media,Sí,No,No,Sí,Sí,Sí,Arrendada
VIV_000051,Ñuñoa,Departamento,4,2,184.9,1988,Madera,Paja,4,2,2,0,4,0,2908697,78,F,Básica,No,No,Sí,Sí,No,No,Cedida
VIV_000052,San Fernando,Casa pareada,1,3,96.2,1950,Ladrillo,Zinc,2,0,2,1,1,0,1883308,24,F,Sin estudios,No,Sí,No,No,No,No,Ocupación irregular
VIV_000053,Viña del Mar,Casa,3,3,77.1,2016,Adobe,Paja,2,2,0,0,2,0,2854363,78,M,Técnica,Sí,No,No,Sí,Sí,No,Cedida
VIV_000054,San Bernardo,Casa,1,3,123.5,1998,Hormigón,Zinc,1,1,0,0,0,1,2452426,32,M,Técnica,No,No,No,No,No,Sí,Ocupación irregular
VIV_000055,Ñuñoa,Casa pareada,3,1,75.4,1952,Ladrillo,Tejas,9,8,1,3,1,5,360142,77,F,Sin estudios,Sí,Sí,Sí,No,No,Sí,Propia
VIV_000056,Valparaíso,Mediagua,2,1,102,2017,Adobe,Paja,7,3,4,4,2,1,1240661,40,M,Sin estudios,No,No,Sí,Sí,Sí,Sí,Arrendada
VIV_000057,Chillán,Mediagua,3,3,64.6,2017,Hormigón,Paja,6,0,6,4,2,0,1607178,42,M,Media,Sí,No,No,Sí,No,No,Propia
VIV_000058,Quilpué,Departamento,1,2,70.2,1990,Ladrillo,Paja,3,1,2,1,1,1,401708,43,F,Sin estudios,Sí,No,No,Sí,Sí,Sí,Ocupación irregular
VIV_000059,Los Andes,Departamento,2,1,70.9,2019,Hormigón,Zinc,7,2,5,0,6,1,986153,75,F,Sin estudios,Sí,No,No,No,Sí,Sí,Propia
VIV_000060,Talcahuano,Casa pareada,2,3,31,2003,Madera,Zinc,6,3,3,3,3,0,2868000,51,F,Sin estudios,Sí,No,Sí,No,Sí,Sí,Arrendada
VIV_000061,Alto Hospicio,Mediagua,2,3,127.5,1966,Ladrillo,Zinc,2,0,2,2,0,0,2646909,23,F,Básica,No,Sí,No,No,Sí,Sí,Propia
VIV_000062,Talca,Departamento,5,1,83.4,1959,Madera,Losa,8,0,8,1,2,5,664210,76,F,Universitaria,Sí,No,No,Sí,No,No,Ocupación irregular
VIV_000063,Quilpué,Casa pareada,3,3,98.2,1953,Madera,Tejas,3,3,0,0,0,3,1727746,45,M,Media,No,Sí,No,Sí,Sí,Sí,Cedida
VIV_000064,Coquimbo,Departamento,1,3,194.5,2004,Hormigón,Zinc,3,3,0,0,0,3,1544485,71,F,Universitaria,No,Sí,Sí,No,Sí,Sí,Ocupación irregular
VIV_000065,Los Andes,Casa,2,2,179.9,1968,Adobe,Tejas,11,3,8,1,5,5,985697,27,M,Sin estudios,Sí,No,No,Sí,Sí,Sí,Ocupación irregular
VIV_000066,Talca,Casa,3,2,144.9,1957,Hormigón,Losa,11,8,3,4,6,1,449762,49,F,Básica,Sí,Sí,Sí,Sí,No,No,Ocupación irregular
VIV_000067,San Bernardo,Departamento,4,3,64.5,1975,Ladrillo,Tejas,12,3,9,2,0,10,2491945,20,F,Media,Sí,No,Sí,Sí,Sí,No,Propia
VIV_000068,Curicó,Casa pareada,2,2,57,1997,Ladrillo,Paja,1,0,1,0,1,0,2346943,78,M,Básica,Sí,No,No,No,Sí,Sí,Ocupación irregular
VIV_000069,Osorno,Mediagua,2,1,49.7,1978,Hormigón,Losa,5,1,4,1,0,4,704290,49,M,Técnica,Sí,Sí,Sí,Sí,Sí,No,Arrendada
VIV_000070,Coyhaique,Casa,4,2,60.3,1979,Ladrillo,Paja,12,12,0,0,2,10,1946124,28,M,Media,No,Sí,No,Sí,No,No,Propia
VIV_000071,Rancagua,Departamento,5,3,182.5,1983,Hormigón,Losa,3,1,2,2,1,0,1819735,52,F,Sin estudios,No,No,Sí,Sí,No,No,Cedida
VIV_000072,Santiago,Departamento,1,2,193.4,1977,Hormigón,Paja,1,1,0,0,0,1,556113,18,F,Media,No,Sí,Sí,No,No,No,Propia
VIV_000073,Castro,Departamento,1,3,64.8,1977,Ladrillo,Zinc,4,4,0,4,0,0,1816615,80,F,Técnica,No,No,Sí,No,No,Sí,Arrendada
VIV_000074,Villarrica,Departamento,3,1,196.3,1993,Hormigón,Tejas,1,0,1,0,1,0,663548,62,F,Sin estudios,No,Sí,Sí,Sí,Sí,No,Cedida
VIV_000075,Valparaíso,Casa pareada,3,1,191.2,1961,Madera,Zinc,7,5,2,2,0,5,1128311,70,M,Media,Sí,Sí,No,No,No,Sí,Propia
VIV_000076,Villa Alemana,Casa pareada,1,1,185.3,1961,Madera,Paja,3,2,1,0,1,2,2427250,47,M,Sin estudios,No,Sí,Sí,No,No,No,Ocupación irregular
VIV_000077,San Fernando,Casa pareada,3,1,32.5,2008,hormigon,Chapa,10,4,6,4,2,4,2913076,78,M,Sin estudios,No,No,Sí,Sí,Sí,No,Arrendada
VIV_000078,Quillota,Mediagua,5,2,187.9,1972,Adobe,Paja,3,1,2,0,0,3,675229,25,M,Básica,No,Sí,Sí,No,Sí,Sí,Cedida
VIV_000079,Iquique,Departamento,3,3,75.6,2009,Madera,Zinc,7,5,2,4,0,3,792250,31,M,Básica,Sí,Sí,Sí,Sí,No,No,Arrendada
VIV_000080,Curicó,Casa,1,3,86.5,1964,Adobe,Paja,3,3,0,3,0,0,2657561,76,M,Básica,Sí,Sí,Sí,No,Sí,Sí,Ocupación irregular
VIV_000081,Maipú,Mediagua,3,2,190.4,2005,Adobe,Tejas,10,4,6,4,4,2,2715937,31,M,Universitaria,No,No,Sí,Sí,No,No,Cedida
VIV_000082,Alto Hospicio,Departamento,3,2,102.9,2018,Ladrillo,Zinc,10,3,7,3,2,5,794061,22,M,Básica,No,Sí,Sí,No,Sí,Sí,Ocupación irregular
VIV_000083,Chillán,Casa pareada,2,2,99.1,2005,Adobe,Losa,3,3,0,0,1,2,2139965,60,F,Universitaria,No,No,No,Sí,Sí,Sí,Cedida
VIV_000084,La Florida,Mediagua,1,1,89.7,1969,Hormigón,Zinc,3,2,1,2,1,0,1602243,26,F,Media,No,Sí,Sí,No,Sí,No,Arrendada
VIV_000085,Iquique,Departamento,2,2,146.2,2000,Adobe,Paja,1,1,0,0,0,1,1973307,30,M,Sin estudios,No,Sí,No,Sí,Sí,No,Ocupación irregular
VIV_000086,Ovalle,Departamento,5,3,167.3,1990,Madera,Paja,13,4,9,0,3,10,1453956,51,M,Sin estudios,Sí,No,No,No,No,No,Arrendada
VIV_000087,Concepción,Casa,3,2,168,1963,Madera,Tejas,9,8,1,0,9,0,510235,57,F,Técnica,No,No,Sí,Sí,No,Sí,Arrendada
VIV_000088,Talcahuano,Mediagua,3,1,80.6,1962,Ladrillo,Zinc,1,0,1,0,0,1,1214981,46,M,Básica,No,No,Sí,Sí,No,No,Propia
VIV_000089,Ñuñoa,Departamento,3,1,86.6,2011,Hormigón,Losa,7,6,1,4,3,0,1797728,31,F,Básica,No,No,Sí,No,Sí,Sí,Ocupación irregular
VIV_000090,Santiago,Casa,2,3,110.1,2020,Hormigón,Tejas,7,4,3,1,3,3,364975,48,M,Universitaria,No,Sí,No,No,Sí,No,Arrendada
VIV_000091,Valdivia,Mediagua,5,3,103.5,2023,Hormigón,Zinc,19,15,4,3,5,11,2271264,43,F,Técnica,No,Sí,No,Sí,Sí,Sí,Arrendada
VIV_000092,Ovalle,Casa pareada,1,2,81.2,1997,Ladrillo,Losa,3,2,1,1,0,2,347063,50,M,Básica,Sí,Sí,No,No,Sí,No,Propia
VIV_000093,Los Ángeles,Casa,1,3,191.9,1994,Ladrillo,Tejas,1,1,0,1,0,0,1217486,38,F,Técnica,Sí,No,No,Sí,No,No,Arrendada
VIV_000094,Maipú,Casa pareada,2,3,75.1,1984,Madera,Zinc,6,6,0,0,3,3,768501,40,F,Técnica,Sí,Sí,No,Sí,Sí,No,Arrendada
VIV_000095,Coyhaique,Mediagua,4,3,50.2,1953,Madera,Losa,8,6,2,0,6,2,2063674,68,F,Técnica,No,Sí,No,No,No,Sí,Arrendada
VIV_000096,Temuco,Casa pareada,2,3,43.2,1998,Hormigón,Paja,5,0,5,3,1,1,2369039,63,F,Técnica,Sí,Sí,No,No,Sí,Sí,Propia
VIV_000097,Coyhaique,Departamento,4,3,177.6,2020,Adobe,Paja,10,2,8,0,1,9,1775865,54,F,Media,No,No,Sí,No,No,No,Cedida
VIV_000098,Coyhaique,Casa,1,2,141.8,1973,Madera,Paja,4,4,0,1,3,0,2865205,76,M,Básica,Sí,Sí,Sí,Sí,No,Sí,Ocupación irregular
VIV_000099,Osorno,Casa pareada,1,3,184.1,1972,Madera,Losa,1,1,0,0,1,0,383844,50,F,Media,Sí,No,Sí,Sí,No,No,Arrendada
VIV_000100,Quilpué,Casa pareada,5,1,96.2,1976,Hormigón,Zinc,16,6,10,0,4,12,1087094,49,F,Universitaria,No,No,No,No,Sí,Sí,Cedida
VIV_000101,Los Ángeles,Casa,5,3,35.3,2020,Ladrillo,Zinc,6,2,4,3,0,3,1013943,21,F,Técnica,No,Sí,Sí,No,No,No,Cedida
VIV_000102,San Fernando,Mediagua,2,3,180.2,1998,Hormigón,Tejas,5,2,3,4,1,0,2602118,73,M,Universitaria,Sí,Sí,Sí,No,No,Sí,Cedida
VIV_000103,Las Condes,Casa pareada,4,3,81.8,1968,Adobe,Tejas,12,6,6,0,8,4,1448662,62,M,Universitaria,No,Sí,No,No,No,Sí,Cedida
VIV_000104,Antofagasta,Casa,3,2,165.8,1968,Madera,Losa,10,7,3,1,9,0,2456565,38,F,Sin estudios,Sí,Sí,Sí,Sí,No,Sí,Arrendada
VIV_000105,Los Ángeles,Casa,5,2,79.5,1973,Ladrillo,Paja,16,8,8,1,8,7,719678,44,F,Básica,No,No,No,No,No,Sí,Arrendada
VIV_000106,Puerto Montt,Mediagua,1,3,62.9,1959,Hormigón,Zinc,3,1,2,0,0,3,1474338,45,F,Sin estudios,No,Sí,No,No,No,Sí,Ocupación irregular
VIV_000107,Santiago,Casa,3,1,143.2,1975,Ladrillo,Paja,9,7,2,1,1,7,764763,73,F,Universitaria,Sí,No,Sí,Sí,No,No,Ocupación irregular
VIV_000108,Calama,Mediagua,3,2,196,2021,Ladrillo,Tejas,5,2,3,3,0,2,623705,51,F,Técnica,Sí,No,Sí,Sí,No,No,Propia
VIV_000109,Castro,Casa,4,3,38.4,1981,Madera,Tejas,2,2,0,1,0,1,449535,23,F,Media,Sí,Sí,No,Sí,Sí,Sí,Ocupación irregular
VIV_000110,Talcahuano,Mediagua,5,2,181.5,2019,Adobe,Zinc,8,7,1,4,0,4,1713964,52,F,Básica,No,No,No,Sí,Sí,Sí,Arrendada
VIV_000111,Calama,Departamento,2,1,55.8,1958,Adobe,Tejas,7,2,5,4,3,0,2990203,21,M,Media,Sí,Sí,No,Sí,Sí,No,Propia
VIV_000112,Quillota,Casa pareada,3,2,38,1992,Adobe,Losa,9,6,3,4,3,2,963782,33,F,Media,Sí,No,Sí,No,No,No,Ocupación irregular
VIV_000113,San Fernando,Mediagua,4,2,70.5,1963,Ladrillo,Losa,12,9,3,4,3,5,1017100,29,F,Sin estudios,Sí,No,No,No,Sí,Sí,Arrendada
VIV_000114,Viña del Mar,Mediagua,3,1,163,2012,Hormigón,Zinc,6,5,1,1,1,4,2738138,31,M,Universitaria,No,Sí,No,No,No,No,Arrendada
VIV_000115,San Antonio,Casa,5,1,94.6,1963,Hormigón,Paja,10,10,0,1,1,8,1098952,43,F,Media,Sí,No,Sí,Sí,No,No,Cedida
VIV_000116,Vallenar,Casa pareada,2,2,135.4,1992,Hormigón,Losa,5,0,5,3,2,0,2507279,54,M,Técnica,Sí,Sí,No,Sí,No,Sí,Propia
VIV_000117,Ovalle,Casa pareada,4,2,88.3,2002,Adobe,Tejas,11,7,4,0,0,11,1620088,44,F,Universitaria,No,No,Sí,No,No,Sí,Propia
VIV_000118,Rancagua,Casa pareada,3,2,42.8,1964,Ladrillo,Tejas,8,1,7,0,0,8,1552264,59,M,Media,No,Sí,No,Sí,Sí,Sí,Propia
VIV_000119,Copiapó,Departamento,3,1,89.1,1968,Ladrillo,Zinc,3,3,0,0,0,3,2387658,35,F,Media,Sí,Sí,Sí,No,Sí,No,Arrendada
VIV_000120,Villa Alemana,Casa pareada,4,2,187.6,2016,Hormigón,Zinc,4,1,3,3,1,0,1648339,80,M,Básica,Sí,No,No,No,Sí,Sí,Ocupación irregular
VIV_000121,Talca,Casa,5,1,161.5,1986,Wood,ZINC,9,8,1,4,0,5,1505862,72,M,Técnica,Sí,Sí,No,No,No,No,Cedida
VIV_000122,Providencia,Mediagua,3,1,141.6,1953,Ladrillo,Paja,11,3,8,3,8,0,336228,38,F,Básica,Sí,Sí,Sí,No,Sí,Sí,Cedida
VIV_000123,San Fernando,Casa,5,1,76.2,2018,Adobe,Tejas,1,0,1,1,0,0,1011607,76,F,Sin estudios,No,No,No,No,Sí,Sí,Propia
VIV_000124,Ovalle,Mediagua,3,1,189.3,1977,Hormigón,Losa,11,11,0,3,8,0,711871,56,M,Sin estudios,No,Sí,Sí,No,Sí,No,Propia
VIV_000125,Calama,Casa pareada,5,1,156.5,1992,Ladrillo,Tejas,1,1,0,0,1,0,354550,46,F,Técnica,No,No,No,Sí,Sí,Sí,Arrendada
VIV_000126,Curicó,Casa,5,3,95,2012,Wood,Chapa,9,4,5,3,1,5,1263528,56,M,Sin estudios,No,Sí,Sí,No,No,Sí,Cedida
VIV_000127,Villa Alemana,Casa pareada,3,1,180.1,2020,Adobe,Tejas,6,5,1,2,1,3,1553393,49,F,Universitaria,Sí,No,Sí,No,Sí,No,Arrendada
VIV_000128,San Antonio,Mediagua,2,3,144.6,1972,Madera,Zinc,4,4,0,1,2,1,1903004,48,F,Universitaria,No,Sí,Sí,Sí,No,No,Ocupación irregular
VIV_000129,San Bernardo,Mediagua,5,3,42.5,1989,Adobe,Tejas,11,7,4,4,6,1,352965,32,M,Media,Sí,No,Sí,Sí,Sí,No,Arrendada
VIV_000130,Osorno,Casa pareada,4,3,135.9,1982,Ladrillo,Zinc,13,1,12,4,9,0,2960323,24,F,Básica,No,No,Sí,No,Sí,No,Arrendada
VIV_000131,Arica,Departamento,5,1,160.2,1991,Ladrillo,Losa,10,4,6,0,5,5,2591832,31,M,Básica,Sí,Sí,Sí,Sí,No,Sí,Propia
VIV_000132,Osorno,Departamento,2,1,107.3,2014,Hormigón,Losa,8,8,0,4,2,2,2535457,79,F,Sin estudios,No,No,Sí,Sí,No,Sí,Ocupación irregular
VIV_000133,Villarrica,Casa pareada,5,2,97.6,1975,Madera,Paja,14,11,3,2,11,1,1658373,62,M,Técnica,No,No,No,No,No,No,Arrendada
VIV_000134,Copiapó,Departamento,4,1,122.4,1977,Madera,Tejas,16,0,16,4,0,12,499122,50,M,Media,No,Sí,No,No,Sí,Sí,Cedida
VIV_000135,Puente Alto,Casa,1,3,100.2,2001,Adobe,Zinc,3,2,1,0,1,2,2291080,45,M,Universitaria,Sí,No,No,Sí,No,Sí,Arrendada
VIV_000136,Quillota,Casa,4,3,34.3,2023,Adobe,Paja,13,12,1,3,0,10,2760221,55,F,Básica,No,Sí,Sí,No,Sí,Sí,Arrendada
VIV_000137,Villa Alemana,Casa,5,1,113,1996,Ladrillo,Tejas,18,16,2,1,5,12,1616395,74,F,Básica,Sí,Sí,Sí,No,No,Sí,Cedida
VIV_000138,Viña del Mar,Mediagua,3,1,93.4,1952,Hormigón,Losa,11,11,0,1,0,10,2538604,65,F,Básica,No,No,Sí,No,Sí,Sí,Ocupación irregular
VIV_000139,Los Andes,Casa pareada,2,3,187,1958,Hormigón,Tejas,8,1,7,1,2,5,1940461,61,M,Básica,Sí,No,No,No,Sí,Sí,Arrendada
VIV_000140,La Serena,Casa pareada,4,3,64.2,1978,Ladrillo,Losa,3,1,2,3,0,0,2692866,19,F,Media,Sí,No,Sí,Sí,Sí,No,Cedida
VIV_000141,Santiago,Casa pareada,1,1,141.5,1988,Concrete,Eternit,3,2,1,1,1,1,2596388,78,M,Media,Sí,No,Sí,Sí,Sí,No,Cedida
VIV_000142,Temuco,Casa pareada,4,3,135.9,1978,Madera,Paja,1,1,0,0,1,0,2599107,51,F,Básica,Sí,Sí,No,Sí,No,No,Cedida
VIV_000143,Calama,Mediagua,1,1,150.3,2015,Madera,Losa,3,2,1,2,1,0,1680421,42,M,Media,No,No,Sí,Sí,No,No,Arrendada
VIV_000144,Ñuñoa,Mediagua,2,2,144.7,1975,Adobe,Zinc,3,0,3,3,0,0,2064353,50,M,Media,No,Sí,Sí,Sí,No,No,Propia
VIV_000145,Los Ángeles,Casa pareada,4,1,159.8,1961,Adobe,Zinc,6,1,5,3,1,2,1275945,37,F,Media,Sí,No,Sí,No,Sí,Sí,Ocupación irregular
VIV_000146,Punta Arenas,Casa,5,2,117.2,2022,Hormigón,Paja,4,1,3,3,1,0,2159502,41,M,Técnica,Sí,No,No,No,No,No,Arrendada
VIV_000147,Concepción,Mediagua,1,3,169.8,1980,Adobe,Losa,1,0,1,0,0,1,628169,38,F,Técnica,Sí,Sí,No,No,Sí,Sí,Cedida
VIV_000148,Alto Hospicio,Mediagua,5,1,63.6,2017,Ladrillo,Paja,9,6,3,1,6,2,882203,38,F,Media,Sí,Sí,No,Sí,Sí,No,Cedida
VIV_000149,Las Condes,Casa,2,1,184.9,1967,Hormigón,Losa,1,0,1,1,0,0,319371,67,M,Sin estudios,No,No,Sí,Sí,No,No,Propia
VIV_000150,Osorno,casa,2,2,170.2,2000,Ladrillo,Zinc,6,4,2,3,0,3,391412,51,M,Media,No,Sí,No,Sí,Sí,Sí,Cedida
VIV_000151,Rancagua,Casa,4,2,30.4,2001,ladrillo,Eternit,5,3,2,2,3,0,2048942,66,F,Técnica,No,No,No,No,No,Sí,Propia
VIV_000152,San Antonio,Casa pareada,2,3,140.7,2004,Ladrillo,Zinc,6,6,0,1,3,2,1484057,28,M,Media,Sí,No,Sí,No,No,Sí,Ocupación irregular
VIV_000153,Curicó,Casa pareada,5,3,68.8,1963,Madera,Tejas,7,1,6,1,6,0,773888,39,M,Básica,No,No,No,No,Sí,No,Arrendada
